shaunaSHELLEY	1 more episode and then I'm caught up on the walking dead 👌
baggedmilkovich	RT @favechracter: carol peletier || the walking dead http://twitter.com/favechracter/status/646743753844240385/photo/1
natalkasralka	RT @favechracter: stella carlin || orange is the new black http://twitter.com/favechracter/status/658432529758863360/photo/1
RicoMars17	Been seeing @ObeyAde gas prison break the whole of 2015 gonna give it a try today lool
adammm72	The Walking Dead in #streaming , all seasons in HD! http://walking-dead-streaming.net #twd #thewalkingdead #walkingdead #twdstreaming
CharlieLeigh7	@ConnorLester peakkkkk says the one who sits there watching breaking bad on his ones 🌚
syifaradzi	Can't wait for the premiere of the walking dead mid season
cliffordisemo	RT @rtsejaassistiu: the walking dead
aemes_13	need to start watching breaking bad again
SaBSkywalker	RT @realistdrizzy: Michael from prison break 😩 https://vine.co/v/iZ3ZaWnvDwM
onebxnshee	RT @rtsejaassistiu: orange is the new black
NONElikeGENi	Watched Narcos & I loved it , now I'm watching orange is the new black & I'm hooked . I know I'm super late ..
fattycaIum	RT @rturvgame: the walking dead 400 days http://twitter.com/rturvgame/status/644858326270914560/photo/1
suckglenn	RT @rtsejaassistiu: the walking dead
N__whale	RT @THR: Bone Broth and Holiday Dinners: #OITNB Star @LauraPrepon Takes THR's Taste Test http://thr.cm/avC49l #thestashplan http://t.co/3…
FaridIsadora	RT @rtsejaassistiu: the walking dead
njh_serieftfood	RT @Harry_Styles: "I would absolutely prefer an episode of breaking bad, a snooze or some corn flakes."
HTGAWOLF	RT @rtsejaassistiu: orange is the new black
greysheo	khaleesi just watched S03E08 of Orange Is the New Black and returns feed her dragons #OITNB http://www.tvshowtime.com/show/264586/episode/5044438?ref=1de89c06d5b45c82a3ae0c66c577edc0 http://twitter.com/greysheo/status/682969303612821504/photo/1
martinjayda701	Happy new years my resolution is to eat healthier and work out instead of watching marcom in the middle and orange is the new black
angelvestyles	RT @rtsejaassistiu: the walking dead
priscillabans	RT @faveship: flaca and maritza - orange is the new black http://twitter.com/faveship/status/647670078226366464/photo/1
eeezabella	New Years resolution involves watching all of orange is the new black before break is over 😎
