shaunaSHELLEY	1 more episode and then I'm caught up on the walking dead 👌
lenepomuceno_	@ddlsummer @SabrinaBogacki @borgescruvin3l @gabera_Pacheco oitnb - orange is the new black
__Shadez	watch breaking bad bruh... banshee? no https://twitter.com/Roshhhhhhhh/status/689467157126610944
axelle62_c	RT @favseriesactors: tyreese williams || the walking dead http://twitter.com/favseriesactors/status/689071641423392768/photo/1
LiquidAsphyxia	RT @Rharr_15: My professor look like dude of breaking bad and the dad from Malcom in the middle 😂😂😂
Gisz_xo	RT @ZakaryLoso: Scandal is a 16/10 series fam, nothing comes close, not prison break nothing
FlandusFans	RT @AprilRocks: "Cause we're cool like that!" #wscruise #twd #thewalkingdead #normanreedus #gregnicotero http://twitter.com/AprilRocks/status/689437137263980544/photo/1
suheylaaaa_	RT @k_swizzle910: @suheylaaaa_ wtf is mls lmao no he was a Colombian drug lord just watch narcos
tayladante	I need the walking dead back on ASAP get Rick Grimes back on my telly right now🔥🔥🔥
LaurenAVarley	NEW POST + GIVEAWAY: New Year, New Netflix Shows http://www.thelifeandlovesoflolly.co.uk/2016/01/new-year-new-netflix-shows-giveaway.html?m=1 #StreamTeam #MakingAMurderer #OITNB #Netflix @NetflixUK
janinfoster	Less than a month!! What do you guys think is gonna happen? - #twd #thefartingdead #thewalkingdead #amc #likeitup #… http://twitter.com/janinfoster/status/689490741060481024/photo/1
janinfoster	So school was interesting #amcthewalkingdead #thewalkingdead #TWD #ftwd #fearthewalkingdead #rickgrimes #andrewlin… http://twitter.com/janinfoster/status/689490762598260739/photo/1
jessi_sko	RT @xFavCharacters: Michonne || the walking dead http://twitter.com/xFavCharacters/status/687385833926717441/photo/1
Caio_amarall	Sdds the walking dead
hightidescamila	RT @chuckingout: alycia and mercedes better be in that fear the walking dead panel and they better be sitting together and they better be a…
shalie_mermaid	RT @favechracter: stella carlin || orange is the new black http://twitter.com/favechracter/status/658432529758863360/photo/1
notyaboibobbrem	@TripAndretti but have u seen narcos? Cuz that shit was legit and I fuckin hate reading tv too
johnmerro1	RT @WayneRooney: We call @GNev2 t bag because he is a ringer of t bag in prison break. For everyone asking
loverdrew	RT @LockScreensAm: 👐🏻 locks the walking dead ✨ RT pra receber na DM 📌 FAV se gostou #askwalker /Ju http://twitter.com/LockScreensAm/status/689477374757351425/photo/1
tstrachanedit	RT @adam_jacques: I see you caught him fresh from the set of the walking dead https://twitter.com/EveningGazette/status/689443359505514497
_briizzaaay	RT @niaagrafalls: if y'all need a good show to watch on Netflix, watch prison break!! best show ever
KyleDowie	@daz_black I've played the walking dead solo good the feels tho
Leyfashion	RT @OITNB: Pick your prison wife. #OITNB
FreeMoney007	RT @OITNB: Pick your prison wife. #OITNB
bethlennon	RT @OITNB: Pick your prison wife. #OITNB
Woodster1113	RT @OITNB: Pick your prison wife. #OITNB
sadlycat_ana	RT @OITNB: Pick your prison wife. #OITNB
lxkeacton	RT @OITNB: Pick your prison wife. #OITNB
mariana_vvz	RT @OITNB: Pick your prison wife. #OITNB
RIHLUVHER	RT @OITNB: Yo @Netflix_India, come party with us! #OITNB http://twitter.com/OITNB/status/687152134668722177/photo/1
vauseisgod	RT @OITNB: Pick your prison wife. #OITNB
MadyAB	RT @OITNB: Pick your prison wife. #OITNB
tvShows_vsn	RT @OITNB: Pick your prison wife. #OITNB
vauseavc	RT @OITNB: Pick your prison wife. #OITNB
meirodgz_	RT @OITNB: Pick your prison wife. #OITNB
phoebehzz	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
KatelynKubik	RT @OITNB: Pick your prison wife. #OITNB
superjem94	RT @OITNB: Pick your prison wife. #OITNB
Static_Fraze	RT @OITNB: Pick your prison wife. #OITNB
nVz_Falcon	@BillelBcm the walking dead
Pretty_Young_YO	They need to hurry up with narcos
yessiduree	RT @OITNB: When your woe gets you good. 😂 #OITNB http://twitter.com/OITNB/status/684444882564296704/photo/1
RubyRoser4Life	RT @OITNB: Pick your prison wife. #OITNB
equalizad4	RT @Panemland: daredevil sense8 jessica jones oitnb narcos scream master of none http://twitter.com/Panemland/status/688904405899440129/photo/1
Slim1290	RT @favechracter: stella carlin || orange is the new black http://twitter.com/favechracter/status/658432529758863360/photo/1
Slim1290	RT @favechracter: stella carlin || orange is the new black http://twitter.com/favechracter/status/658432529758863360/photo/1
pao_1121	RT @OITNB: Pick your prison wife. #OITNB
JakeTNA	@madkbrew please tell me your in something new 😯 Netflix isn't the same without #OITNB or #HemlockGrove
_Christophoros_	RT @businessinsider: The actor who plays 'Pornstache' in #OITNB explains why he has no mustache in season 3 http://read.bi/1nwekjN https:/…
tommo_stylesx	I feel like the walking dead
NetflixUK	RT @OITNB: Pick your prison wife. #OITNB
Franchucorsi	RT @faveship: flaca and maritza - orange is the new black http://twitter.com/faveship/status/647670078226366464/photo/1
belleybooh1	RT @OITNB: Pick your prison wife. #OITNB
DMRegister	Ready for more #HouseOfCards and #OITNB? Here's when all your favorite shows are returning to #Netflix: http://dmreg.co/1SuvbjL
bornapplausebad	RT @fckscheibe: orange is the new black #GagaBestFans2016 https://twitter.com/heartzcamren/status/688874808986218497
vicsanchesb	RT @brotpgifs: maggie and beth // the walking dead http://twitter.com/brotpgifs/status/689152386452058112/photo/1
elysia_monique	RT @nweezy_xd: Can't wait till June 17 for #OITNB
ROY4LGIGI	RT @GiGiHadid: Cully told me to watch season 1 of prison break sooo be back never
theylove_trin	RT @FvckJudy_: Welcome to #Litchfield ❤️ June 17 #OITNB http://twitter.com/FvckJudy_/status/688788842061537280/photo/1
anskysue	Whoever said orange is the new black was wrong ... #hitachi https://twitter.com/CLBoydCo/status/689538966782025728
sadziaII	just finished the second season of breaking bad, on to the next one
wonhoos	i heard a guy in my spanish class and his exchanging student talking about the walking dead i was hella 👀
ShinyHappyVicky	After grumbling about watching it with the hubs, I did indeed fall hook, line and sinker for #breakingbad. Glued to the final season now!
WilliamBirt	Problem with narcos is I can't sit on my phone and half-watch it because mostly subtitled. Like I've missed half the ep cus of this tweet
MattBez	@SohailMushtaq Game of thrones for sure, breaking bad and sopranos should be somewhere on that list if you haven't seen them already
LOVERS_OF_TWD	Most of my family likes the walking dead, someday I would like to say that Norman Reedus followed me. Thanks Norman @wwwbigbaldhead
dlwlrmas	i'm in the last episode of narcos :/
jacobstaten3	Can't get enough of breaking bad 😀
MeshachP9	Watching narcos for the third time
hercules9223	RT @OITNB: Pick your prison wife. #OITNB
imxxnn	Someone needs to help me find a life cos I started prison break last night and I've basically finished the first season
katyannesantiag	RT @wesnoiado: 1- pll,prison break e limitless 2-todos de hp 3- the nbhd,rhcp 4- emma watson,chris hemsworth #QueremosEmblem3 https://t.co…
vicky_mx16	There's a song playing at starbucks that sounds like the opening theme of breaking bad #thefeels #onlyayearagobutstill
queenstromberg	RT @wesnoiado: 1- pll,prison break e limitless 2-todos de hp 3- the nbhd,rhcp 4- emma watson,chris hemsworth #QueremosEmblem3 https://t.co…
GeorgiePlayZz	@telltalegames the walking dead season 3??
9amandabaker	*re watches orange is the new black just for @RubyRose*
EaglemossTWD	Wait...it's still not February yet? #TWD #thewalkingdead http://twitter.com/EaglemossTWD/status/689568075545346050/photo/1
itslaciex	me in the morning like.....#thewalkingdead @WalkingDead_AMC http://twitter.com/itslaciex/status/689570864686354432/photo/1
Sunlikeme	Walking Dead Zombie Undead See Hear Speak No Evil Set of Shelf Sitters Comput... http://www.amazon.com/dp/B00B3ZF6K0/ref=cm_sw_r_tw_awdo_9zRNwb0BF5E9N via @amazon #thewalkingdead
jordanlevinxxx	RT @larapark_: new prison break episodes need to come out asap
TeetoPretty	june 17th orange is the new black 🙌🏾
Das_Automobil	@SumofAllTears @9GAGTweets no this is totaly breaking bad, do you see the moon? that's totaly breaking bad because in breaking bad is a moon
SledFanatic	@JDeemer98 prison break and Hawaii five o are my favs so far
audreyaufredou	Orange Is the New Black - Season 4 - #Teaser #OITNB @avialaron @MarieDevelle ENFIN😁 http://youtu.be/th8WT_pxGqg
FortunatLife	From Socks to Hack Codes, 5 things you probably didn't know about @netflix http://fortunatlife.com/hustle/netflix-socks-and-hack-codes/ #netflix #OITNB #entrepreneur #business
mevarckwarrior	RT @PiperSchilling: Pick your prison wife. #OITNB
bonesofwinter	RT @rtsaddestdeaths: noah || the walking dead http://twitter.com/rtsaddestdeaths/status/646816580341370880/photo/1
whosbriana	I hope season 2 of narcos is as good as season 1
vip_oksana81	The Walking Dead in #streaming , all seasons in HD! http://walking-dead-streaming.net #twd #thewalkingdead #walkingdead #twdstreaming
alwaysvids	prison break started it all http://twitter.com/alwaysvids/status/689581002415554560/photo/1
HorizonFemz	Ill go back to posting gfx when im done with narcos and soa so like 1/2 days
YanElGringo	RT @ETCanada: .@NarcosNetflix Stars On Modern-Day Parallels Between Pablo Escobar And El Chapo http://www.etcanada.com/blogs/etc_175844/narcos-stars-on-modern-day-parallels-between-pablo-escobar-and-el-chapo/tv https://t.co/sPg9PhY…
lizardkiller13	@FaNebula @AwesomEmergency the walking dead dumpster he's referring to.
Yakutmoon	It sucks moving! Hopefully new videos to come on Thursday! #tombraider & #thewalkingdead !
CallumMurraay	Totally hyped for the walking dead coming back on👌🏻
DallasKinq	RT @favechracter: carol peletier || the walking dead http://twitter.com/favechracter/status/646743753844240385/photo/1
Jamestheturtle_	I wanna watch the walking dead but I can't watch the walking dead
FatosMusliu	I will definitely watch breaking bad again🤔 #BrBa
sugariero	grey breaking bad pants lmfao https://twitter.com/asklngquestions/status/689151228891254785
hayleywrites	He posts other crap that asks for likes like an amputee. but this one takes the cake. he used the walking dead. and… http://twitter.com/hayleywrites/status/689597716939313152/photo/1
TravisCMS	TCMS member Dr. Vamsi Krishna discusses how a Heart LifeVest can save the walking dead http://ow.ly/Xhv9X
heyval007	@faithxoxoxx @HollyMila welp at least they didn't have to bring back a kid from the walking dead. Whose prompting was that?
KyleeNeidigh	I miss prison break 😫😭😍 http://twitter.com/KyleeNeidigh/status/689601313630326784/photo/1
eustorcia2	RT @ETCanada: .@NarcosNetflix Stars On Modern-Day Parallels Between Pablo Escobar And El Chapo http://www.etcanada.com/blogs/etc_175844/narcos-stars-on-modern-day-parallels-between-pablo-escobar-and-el-chapo/tv https://t.co/sPg9PhY…
demseymae	so addicted to breaking bad
John_Gahfreed	RT @landis_z: All I want is for season two of narcos to be released I've already watched season one 3 times
ptduckz0r	I've just watched episode S03E06 of Orange Is the New Black! #OITNB http://www.tvshowtime.com/show/264586/episode/5044436?ref=37c4a7233942a0249f721a51b2eb4b21
ParafreakYesi	RT @OITNB: Pick your prison wife. #OITNB
ChuitesNLadders	@wallkriss Dexter, breaking bad, greys, orange is the new black, one tree hill, blue mountain state, trailer park boys, the league lol etc
btwitsmayia	the new season of orange is the new black comes back the day before my bday! YAY!!
twatkins817	@WalkingDead_AMC @iconamerica welcome to the jungle in search to find your membrane that has went in sain but now the walking dead continue
johnf_96	RT @_SolangeMolina: Or prison break or greys anatomy https://twitter.com/xlittlemz/status/689611047062368256
carden_lacy	My parents just finished breaking bad I forgot how crazy the last episode was!!
lithijabi	prison break was like the best show iv ever watched
charisedanopir	vaguelyweird : does Vince Gilligan really like the name Ermentrout? #xfiles #breakingbad … http://bit.ly/BreakingBAdNew http://twitter.com/charisedanopir/status/689619463914831872/photo/1
dadakbecca	I think I need to re-watch prison break 😍😍😍
AGHYAAAD	# breaking bad comp: http://a.aghyad.ml/5GV #
dylan_green11	Hooked on prison break
MoisesPerea14	@mruiz_1 narcos.. Mr deeds. Beast of no nations.. Paid in full.
Spookyx12	"Silence is a valid response" already loving the walking dead season 2 game
nic_lettte	I can't wait for prison break to come back on 😍
HoneyArissara	RT @OITNB: Pick your prison wife. #OITNB
jamiehalter	Started breaking bad today and watched it for 5 hours straight
raye_faye	Ms Laura Prepon heading our way in June #OITNB https://twitter.com/LoveMuffinLP/status/689605927096324097
estuprosantana	the walking dead https://twitter.com/impromisse/status/689601785636483072
ericanemetz	So like when does season 5 prison break wanna come out
comickatie	http://ti.me/1NiqXE5 @netflix thx for the dates. good to know what weekends I will be shut in binging #OITNB #HouseofCards #excited
SdelimaterScott	I can't stand the wife on breaking bad
2Sassy4321	RT @dlockw21: Hiding your narcos in a Nexium bottle is all fun and games until grandma gets heartburn. Ok, ok, put your shirt back on nan…
deniseparrilla	have you ever watched orange is the new black? @bexmader #askbex
_matheers	Me acordo parecendo um figurante do the walking dead
PeepholeWorld	Followme for more #luxury #luxurytravel #paradise #travel #Sinaloacartel #narcos #mercedesbenz #followme #Instago … http://twitter.com/PeepholeWorld/status/689633108132548608/photo/1
mukezz_	If anyone watches the flash, arrow, supernatural, the vampire diaries, once upon a time, the walking dead my dms are open so TALK TO ME!!
damianslayne	ok can we talk about how fucking unrealistic the prison break blueprints are like bitch u ain't seeing nothing
Ottawalimousine	RT PeepholeWorld Followme for more #luxury #luxurytravel #paradise #travel #Sinaloacartel #narcos #mercedesbenz #… http://twitter.com/PeepholeWorld/status/689633108132548608/photo/1
GibJimson	RT @dlockw21: Hiding your narcos in a Nexium bottle is all fun and games until grandma gets heartburn. Ok, ok, put your shirt back on nan…
malique010	Aww shit my nigga got me watch breaking bad now.
caiqueimada	prison break https://twitter.com/PAULOCBITCH/status/689629621151797249
StarryChoir	Were gonna watch breaking bad, this is like my 3rd or 4th time watching it
devhowell2211	RT @DanielHuber28: How weird... @OITNB #OITNB http://twitter.com/DanielHuber28/status/689633038351929344/video/1
Buko_Money	breaking bad good af
lmPoom	i am so obsessed w prison break
0samyy	orange is the new black & the 100 https://twitter.com/bighect_/status/689640150935171073
GJ0HN97	School work prison break sleep. Repeat every day forever
jurassicgrimes	@HamillHimself Hello king do you watch the walking dead
josh_steezy	@N_Nasty18 yea prison break was nice, too 5 for me
NDB2_	RT @JalenPerryXXI: Aye I just realized......where in the hell is season 2 of narcos?!
Wieser_725	Watching prison break from season one bc I have nothing better to do 👌🤔
TropicanaTie	I love shameless almost as much as the walking dead
valengxnzalez	que hermosa serie orange is the new black en serio
xxxxpeachy	the walking dead has prepared me for a zombie apocalypse so well. I actually wish for a zombie apocalypse way too often lmao.
alsark48	I rewatched the walking dead and I'm almost caught up to the 6th season again. All bad lol
janinfoster	rick or michonne?¿ o: - #thewalkingdead #walkingdead #twd #amc #ftwd #feartwd #fearthewalkingdead #rickgrimes #dar… http://twitter.com/janinfoster/status/689665249138622464/photo/1
charisedanopir	breakingbad_bot : breakingbad_bot: CHackett919: It was a big mistake to start breaking bad… http://bit.ly/BreakingBAdNew http://twitter.com/charisedanopir/status/689665614407995392/photo/1
cannon_bailee	Me and Devon use to be to gather ALL the time every weekend, from pushing eachother in shopping carts to watching the walking dead.
hxleyjames	My friend just met the guy who plays Glenn in the walking dead
MarriNolle	Where are my trans supporters? #Transgender #PLL #LGBTQ #NoH8 #OITNB @LogoTV http://twitter.com/MarriNolle/status/689666658437214209/photo/1
UndeadWalkingFS	'The Walking Dead: Alexandria is 'something different'' #TWDFamily #thewalkingdead #twd http://undeadwalking.com/2016/01/18/the-walking-dead-alexandria-is-something-different/ http://twitter.com/UndeadWalkingFS/status/689667262635053056/photo/1
amxndanxcole	starting prison break for the third time @WentworthMiller <3
graceacquarola	Need to finish breaking bad so I can start going to sleep at a normal time🙄💤
ADifGuy	RT @dlockw21: Hiding your narcos in a Nexium bottle is all fun and games until grandma gets heartburn. Ok, ok, put your shirt back on nan…
DonWalker762	RT @UndeadWalkingFS: 'Michael Cudlitz answers questions for fans at Mohegan Sun Casino' #thewalkingdead #twd http://undeadwalking.com/2016/01/17/michael-cudlitz-answers-questions-for-fans-at-mohegan-sun-casino-walking-dead-season-6/ ht…
hauntinggg	watching the walking dead https://twitter.com/lilchocolatefem/status/688785548803088384
clodiuh	@valeriaalau i agree with u but also narcos was rlly good im not gonna lie lol
officiaalm	RT @Kodeinee: ready for orange is the new black to come back on 😩
fiafiax3	So me & my moms bf are bonding over prison break episodes rn & she comes in with hula videos trynna get back his attention.... #needy🙄 jk😂
falken318	RT @UndeadWalkingFS: 'Michael Cudlitz answers questions for fans at Mohegan Sun Casino' #thewalkingdead #twd http://undeadwalking.com/2016/01/17/michael-cudlitz-answers-questions-for-fans-at-mohegan-sun-casino-walking-dead-season-6/ ht…
Aukiha	new breaking bad season http://twitter.com/Aukiha/status/689681161073868800/photo/1
KrissGalvann13	Max started "crying" when I turned narcos off 😂
AlconedoEnrique	She the walking dead she ain't got no life !
nicoleananti	@kplum13 @PrisonBQuotes no ma'am😔 & he's been gay since prison break. my heart shattered. http://twitter.com/nicoleananti/status/689686267294941184/photo/1
whanbimin	do yall know that i fux with pretty little liars, vampire diaries, prison break, dexter, teen wolf & nikita lol
bigranaa	"previously on AMC's the walking dead", six words that I cannot wait to hear"
GabeeG2	Well now that prison break is over, I'm not totally sure what to do
coffeeshopmovie	Hey Ih8uGod thanks for the follow! check out #LGBTQ comedy "The Coffee Shop" on #amazon Edvin Ortega fr #OITNB
Ansmellicaa	i wish i could erase all of my memories of the walking dead so i could rewatch it w/o knowing all the spoilers
NelsonJHarris	@ECGeier i feel exactly the same about the walt/jesse sex scene that closes breaking bad
_carlossVidal	@hectorr_1099 same😘 but instead of watching breaking bad I'm eating tacos 😌❤️
breakingbad_bot	breakingbad_bot: breakingbad_bot: laurenforce: should I start breaking bad
KhatibAhmad	Finished prison break... What do I do with my life now 😰
MelanieAllisonL	RT @OITNB: Happy Holidays from Litchfield. 🎅 #OITNB https://amp.twimg.com/v/b7164d3b-53be-48e2-b030-8adf0e82c53c
glasshearrts	RT @faveship: flaca and maritza - orange is the new black http://twitter.com/faveship/status/647670078226366464/photo/1
geee_biancaaa	@ekayibarra the walking dead lol
pacifyjenna	RT @faveship: flaca and maritza - orange is the new black http://twitter.com/faveship/status/647670078226366464/photo/1
CoCoLaRA	Let me go play the walking dead lol my life
coffeeshopmovie	Hey Zachary thanks for the follow! check out #LGBTQ comedy "The Coffee Shop" on #amazon Edvin Ortega fr #OITNB
ffindependent	breaking bad bryan cranston and aaron http://sh.st/nMHOQ #BryanCranston
estebannico19	RT @kimberlyjooo: prison break just needa come out w the new season already 😫
korypalmer83195	@Th3r3Go3sAdR1aN or sons of anarchy if you havnt seen it yet but narcos is so dope its a Netflix original
raeelynnjay	I've been thinking about rewatching breaking bad but the son gets on my nerves🙄
breakingbad_bot	breakingbad_bot: breakingbad_bot: breakingbad_bot: breakingbad_bot: breakingbad_bot: EseYeezus: How tf do you start watching breaking bad a…
aKingsCraft	@RuslanKD ur right! IMO anything after breaking bad didn't appeal to me :( lol but master of none is a good series and lawless is cool too.
coffeeshopmovie	Hey elena thanks for the follow! check out #LGBTQ comedy "The Coffee Shop" on #amazon Edvin Ortega fr #OITNB
1061BLI	Check out the #NEW trailer for season four of #OITNB @OITNB http://trib.al/udXla6e @rondeezy35 http://twitter.com/1061BLI/status/689711475162742784/photo/1
mgctropico	RT @tvstarterspacks: the walking dead (tv show) starter pack http://twitter.com/tvstarterspacks/status/674674585653157888/photo/1
Ayyorda	RT @TXMBRVDY: @BlakemoreTyler "No ayyorda im going to watch prison break"
GrayElyxis	Finished another tv series, prison break...i rate it 5/7 😂
Abi_CoHer	Lovers never meet, they're in each other all along #OITNB
lily_culham	RT @NetflixFR: Stop ✋ don't talk to me! Loser 👆 lame-ass 👐 wannabe 🙌 Like, oh... 👌 Totally ✌ #OITNB
PleasingBieber	@KalinWhite I just started orange is the new black I'm so behind but so intrigued
bnavejas10	RT @iridianamendoza: If there's one thing that prison break has taught me is to not trust anyone
beautykillsx___	I love prison break lol. Im on season 3 https://twitter.com/datsjerica/status/689714738716999681
calebbbbbbbbbb1	Bout to binge watch prison break care to join me?
Janimarte95	after finishing prison break, I don't even know what to do anymore
Laalaala5	Teres y the walking dead con Enzo
charlottemaex	So Jesse off of breaking bad gets hot after he goes to rehab OIOI
chance_hoffner	RT @GiGiHadid: Cully told me to watch season 1 of prison break sooo be back never
Deliajm	Fear the walking dead lilyjaneromero #zombie @ Bozeman, Montana https://www.instagram.com/p/BAwTF_3grX-/
itbriscoe	Suspect that Pres #Macri has left behind a big mistake on way to #Davos. Shooting down drug flights 1. risks lives. http://www.lanacion.com.ar/1863599-la-emergencia-en-seguridad-habilita-el-derribo-de-vuelos-narcos
breakingbad_bot	breakingbad_bot: breakingbad_bot: diIdolaourus: Been 8 years since the start of breaking bad wtf thats mad
GabachoExpress	RT @BreakBadEnglish: Are you going to #Fitur2016? Do you like travelling? How's your English? Follow me and we'll work on breaking bad Eng…
Isaacml_1024	Wtf 😩 the breaking bad pilot aired 8 years ago today?!
hewbacca	the fuck is this breaking bad https://twitter.com/WhatTheFFacts/status/689734378608529408
jodiediefenbach	breakingbad_bot: haris_zamir: Swerve college aload of me arse time t start prison break an… http://bit.ly/BrakingBadNew http://twitter.com/jodiediefenbach/status/689735525696192512/photo/1
mahmoud_mahg	The Walking Dead in #streaming , all seasons in HD! http://walking-dead-streaming.net #twd #thewalkingdead #walkingdead #twdstreaming
hemmodedication	Promoting @Foxtel bc they show the walking dead https://twitter.com/foxtel/status/689735544574640128
TLPproducer	Soundbyte from @rebecca_mozo: If #OITNB is #ER then @kittensinacage is like #scrubs http://bit.ly/1DKVfSe #MEOW #Actress #radiointerview
breakingbad_bot	breakingbad_bot: breakingbad_bot: breakingbad_bot: breakingbad_bot: diIdolaourus: Been 8 years since the start of breaking bad wtf thats mad
NSI_Fitness	@RAVIEB son, I lived on 120th last year and it was like being in the walking dead when heading to work in the AM
MedleyChuck	Going to put in the walking dead in a few
sammPOW	RT @rtsaddestdeaths: tricia miller || orange is the new black http://twitter.com/rtsaddestdeaths/status/645737054681309184/photo/1
sleepclo_ebooks	The only difference between me and jesse from breaking bad is the new airplane cigarette.
guidohatzis	@JMacneall @CricketAus get back to breaking bad mate.
larryestante	RT @Louis_Tomlinson: Fear the walking dead is intriguing !!!
FBCover3	The Walking Dead in #streaming , all seasons in HD! http://walking-dead-streaming.net #twd #thewalkingdead #walkingdead #twdstreaming
xnreedus	the empire business 💣 // (curious, does anyone have my notifications on?) (Vine by breaking bad edits) https://vine.co/v/Od9DelbrWYV
charisedanopir	MitselKarlo : I honestly think that Walter's wife is a fuckin' cunt. #breakingbad Watch he… http://bit.ly/BreakingBAdNew http://twitter.com/charisedanopir/status/689782640103260160/photo/1
coffeeshopmovie	Hey ComeBackLove thanks for the follow! check out #LGBTQ comedy "The Coffee Shop" on #amazon Edvin Ortega fr #OITNB
xharia___	Time for prison break ☺️
thee_spencie333	RT @_emilyyyp: prison break will forever be the best show on netflix😍
_MMXIIMALIK	RT @louietomlinson: I love norman reedus from the walking dead http://twitter.com/louietomlinson/status/689794301631471616/photo/1
pennimagnific	RT @rtyourcharacter: tasha "taystee" jefferson || orange is the new black http://twitter.com/rtyourcharacter/status/675861947330510848/photo/1
chewedbyharry	RT @GiGiHadid: Cully told me to watch season 1 of prison break sooo be back never
maricritsa	The Walking Dead in #streaming , all seasons in HD! http://walking-dead-streaming.net #twd #thewalkingdead #walkingdead #twdstreaming
justinxscape	RT @rtyourcharacter: tasha "taystee" jefferson || orange is the new black http://twitter.com/rtyourcharacter/status/675861947330510848/photo/1
JesseniaxIris	All I'm excited for this Feb is moving, deadpool, and the walking dead #TWD #Deadpool #bemyvalentine #jk
biebsrussett	I've just watched episode S03E04 of Orange Is the New Black! #OITNB http://www.tvshowtime.com/show/264586/episode/5044434?ref=104bf22ba339208284e04f3ae118c046 http://twitter.com/biebsrussett/status/689798922030714880/photo/1
OpenClasp	RT @MyFavePlaces: Edinburgh Festival winner, #KeyChange devised with residents of HMS prison.#OITNB it ain’t. http://bit.ly/1P3ohQ4 https…
shinyawesome	I've just watched episode S03E01 of Orange Is the New Black! #OITNB http://www.tvshowtime.com/show/264586/episode/5043420?ref=164046dc2c22a6f5ebc016cc88baf9eb http://twitter.com/shinyawesome/status/689804348994555904/photo/1
fabiotarantini1	The Walking Dead in #streaming , all seasons in HD! http://walking-dead-streaming.net #twd #thewalkingdead #walkingdead #twdstreaming
AngelsByMillie	#valentinesdaygifts #Bae The Walking Dead Quotes Shirt TWD #thewalkingdead #twd http://ow.ly/WX129
ynaaaaaaaaaaah	I miss watching #OITNB 😭😭😭😭
tonisorrentinoo	if u don't get secondhand stress from watching prison break u are not watching it right
BBrattail	RT @iridianamendoza: If there's one thing that prison break has taught me is to not trust anyone
forkwithmav	Thinking about restarting breaking bad but that could be a very bad idea
mrr_me	RT @Abril45226942: the walking dead temporada 1 capitulo 1 http://twitter.com/Abril45226942/status/689790215750303744/photo/1
cwlors	I've just watched episode S02E04 of Orange Is the New Black! #OITNB #tvshowtime http://www.tvshowtime.com/show/264586/episode/4799303?ref=23274b1b74c202f2a31b7dd75f729fbf
smileofjackg	last episode of prison break omg
niallisbubie	RT @louietomlinson: I love norman reedus from the walking dead http://twitter.com/louietomlinson/status/689794301631471616/photo/1
ANDY__619	We deserve season 5 ya prison break 😕
itsmarsking	RT @whosblair: Sobre orange is the new black http://twitter.com/whosblair/status/609243591316242432/photo/1
Mofyjoe	Damn need season 2 of narcos
jennjmarks	I'm a little behind the times, but I just started watching #breakingbad . So far so great!
DarioMoschetta	Quick #sketch with #wacom #intuospro #illustration #artwork #breakingbad #walterwhite http://fb.me/75iT6FIcf
SheSayItDangelo	Should I watch the walking dead again?
MissHijabi_MK	RT: jerinsanity: fucking yessssssss!!!! #prisonbreak https://twitter.com/PrisonBQuotes/status/689594417141915648 http://goo.gl/y0j5wM
ChefTalkSports	@r1card0jose that's why I thought. Kinda gonna be hard doing that and prison break
softghetthoe	Just want to stay home smoke, talk to baby and watch breaking bad allday 😿
gabriella_113	Today is the 8 year anniversary of breaking bad 😢💓
roymccomber20	I just started breaking bad. It pretty good bro fr https://twitter.com/clementjackson_/status/689628139643871232
TheDeadCanWrite	RT @shoresvkassie: #WalkingDead t shirt the walking dead zombies Halloween large 100% cotton… http://dlvr.it/DKplFF #Mens #Clothing https…
coffeeshopmovie	Hey BOXERS NYC thanks for the follow! check out #LGBTQ comedy "The Coffee Shop" on #amazon Edvin Ortega fr #OITNB
walkingldead	so I thought rewatching breaking bad and following Spanish twd accounts would help me pass Spanish but I was hella wrong
Fannybrt02	RT @rtyourcharacter: tasha "taystee" jefferson || orange is the new black http://twitter.com/rtyourcharacter/status/675861947330510848/photo/1
breakingbad_bot	breakingbad_bot: shawlabrianidis: 8 years since the start of breaking bad today is deffo a sign to re-watch it 👀
CarmenMHealyPer	RT @stonecoldpiper: I still stand by my suggestion from 2013 #OITNB http://twitter.com/stonecoldpiper/status/689839922132467713/photo/1
NotDonih	@Rashnaa_ did you start prison break or not
ShayeDRGaray	The Walking Dead returns February 14!! #cantwait #TWD #amctwd #thewalkingdead https://www.instagram.com/p/BAxIH_Ujr89/
nubianovaes	RT @stonecoldpiper: I still stand by my suggestion from 2013 #OITNB http://twitter.com/stonecoldpiper/status/689839922132467713/photo/1
bayanpadilla	RT @faveship: flaca and maritza - orange is the new black http://twitter.com/faveship/status/647670078226366464/photo/1
UltraViolet	RT @NLIRH: .@SheIsDash of #OITNB shares one woman’s abortion story, to help #DrawTheLine against attacks on repro care. https://t.co/NSFSw9…
rozigzag	I've just watched episode S03E09 of Orange Is the New Black! #OITNB http://www.tvshowtime.com/show/264586/episode/5044439?ref=639d9ae0f494b1be4474e87fd7ce4b61 http://twitter.com/rozigzag/status/689849872476946432/photo/1
RyanJJRoss	House of cards, sons of anarchy or prison break. I've gotta start one but which😁😁😁
BreakingBadUkd	New on Ebay! Better Call Saul Complete Season Series 1 Region 2 TV DVD one 1st breaking bad http://ift.tt/1Sxaio6 http://twitter.com/BreakingBadUkd/status/689852470311395329/photo/1
RayyanBa	Thank you #Netflix for making my UHD tv purchase worth it where's #OITNB though? @Netflix_ME
